epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0166,0.72663,0.77393,1.00387,0.55502,0.75145,0.63219,0.52585,0.6432,0.66713,0.9526,0.0033165,0.0033165,0.0033165
2,109.41,0.71251,0.74603,0.99478,0.47472,0.80865,0.56069,0.46382,0.65164,0.76866,0.95717,0.00663666,0.00663666,0.00663666
3,163.084,0.73056,0.77443,0.99958,0.53611,0.76689,0.61521,0.50725,0.67469,0.71126,0.96865,0.00994363,0.00994363,0.00994363
4,216.283,0.75992,0.81211,1.01683,0.40127,0.75187,0.47565,0.38344,0.7077,1.06686,0.99084,0.0099406,0.0099406,0.0099406
5,269.932,0.7709,0.8126,1.01741,0.59105,0.78319,0.68307,0.54687,0.70572,0.66964,0.98635,0.0099208,0.0099208,0.0099208
6,323.454,0.76312,0.80473,1.01737,0.52684,0.72637,0.57522,0.46269,0.69924,0.76921,0.9853,0.009901,0.009901,0.009901
7,377.032,0.76262,0.81508,1.01723,0.56093,0.76931,0.60953,0.49632,0.69943,0.6875,0.98048,0.0098812,0.0098812,0.0098812
8,430.166,0.76861,0.81138,1.01975,0.4843,0.74151,0.55569,0.45694,0.6998,0.78985,0.9841,0.0098614,0.0098614,0.0098614
9,483.816,0.75787,0.79485,1.01331,0.51002,0.816,0.60359,0.48865,0.67959,0.68783,0.97003,0.0098416,0.0098416,0.0098416
10,536.966,0.76039,0.78768,1.01487,0.50164,0.81387,0.60308,0.48386,0.7038,0.72189,0.97955,0.0098218,0.0098218,0.0098218
11,590.532,0.75484,0.78491,1.01392,0.56167,0.78925,0.64121,0.52981,0.68836,0.65973,0.97463,0.009802,0.009802,0.009802
12,643.717,0.74435,0.77145,1.00565,0.55557,0.78345,0.64662,0.53131,0.68194,0.64923,0.9714,0.0097822,0.0097822,0.0097822
13,697.315,0.75012,0.76884,1.00923,0.51422,0.76756,0.60277,0.50099,0.69062,0.75307,0.97567,0.0097624,0.0097624,0.0097624
14,750.598,0.74613,0.77009,1.00775,0.5361,0.7014,0.61394,0.50663,0.67646,0.7013,0.96772,0.0097426,0.0097426,0.0097426
15,804.098,0.74246,0.76175,1.00602,0.56585,0.78107,0.64044,0.53662,0.66765,0.65369,0.96819,0.0097228,0.0097228,0.0097228
