epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6461,1.27328,3.88413,1.42138,0.56218,0.1616,0.15425,0.10405,1.17032,2.81535,1.37938,0.00332489,0.00332489,0.00332489
2,129.359,1.15319,2.44566,1.29443,0.39095,0.37981,0.29272,0.20034,1.05379,1.9669,1.28175,0.00665164,0.00665164,0.00665164
3,193.02,1.12421,1.99356,1.25618,0.53594,0.41752,0.35219,0.24383,1.05106,1.86372,1.22823,0.00997178,0.00997178,0.00997178
4,256.999,1.12082,1.8151,1.23782,0.43307,0.56427,0.43126,0.30428,0.99102,1.68656,1.18973,0.0099703,0.0099703,0.0099703
5,320.561,1.0833,1.67285,1.20873,0.48574,0.57963,0.50704,0.37724,0.92631,1.4319,1.13135,0.0099604,0.0099604,0.0099604
6,383.931,1.06119,1.58267,1.18694,0.51303,0.60733,0.50099,0.37441,0.93917,1.4943,1.13729,0.0099505,0.0099505,0.0099505
7,447.07,1.03202,1.4954,1.17664,0.48732,0.62015,0.51288,0.38317,0.89572,1.36888,1.1088,0.0099406,0.0099406,0.0099406
8,510.299,0.99684,1.41548,1.15551,0.57395,0.63383,0.59181,0.45334,0.849,1.11586,1.07469,0.0099307,0.0099307,0.0099307
9,573.54,0.98177,1.3557,1.14592,0.51139,0.70511,0.6028,0.4617,0.83094,1.13434,1.06361,0.0099208,0.0099208,0.0099208
10,636.669,0.96449,1.30222,1.12682,0.58508,0.67833,0.61314,0.45991,0.82784,1.06915,1.05589,0.0099109,0.0099109,0.0099109
11,699.861,0.95231,1.26333,1.12574,0.4536,0.70755,0.53378,0.41081,0.7978,1.07683,1.04303,0.009901,0.009901,0.009901
12,763.131,0.9318,1.2039,1.10858,0.39223,0.668,0.43239,0.33512,0.79788,1.3788,1.04292,0.0098911,0.0098911,0.0098911
13,826.334,0.92828,1.16964,1.10794,0.45527,0.74366,0.55407,0.43189,0.78226,1.0981,1.0368,0.0098812,0.0098812,0.0098812
14,889.346,0.91084,1.13665,1.10448,0.5686,0.73811,0.64813,0.50783,0.76967,0.87393,1.02151,0.0098713,0.0098713,0.0098713
15,952.273,0.90293,1.13303,1.09616,0.52325,0.78041,0.62209,0.48554,0.78639,0.88485,1.03193,0.0098614,0.0098614,0.0098614
16,1015.38,0.89851,1.10746,1.08851,0.4305,0.79163,0.55707,0.43945,0.75026,0.92053,1.00907,0.0098515,0.0098515,0.0098515
17,1078.36,0.88391,1.06911,1.08509,0.4567,0.6888,0.53048,0.41613,0.75581,0.96704,1.01298,0.0098416,0.0098416,0.0098416
18,1141.41,0.88054,1.049,1.08287,0.52549,0.76299,0.60553,0.47992,0.74608,0.83652,1.00442,0.0098317,0.0098317,0.0098317
19,1204.51,0.87236,1.0349,1.07879,0.51978,0.76401,0.59626,0.47039,0.75031,0.81942,1.01087,0.0098218,0.0098218,0.0098218
20,1267.47,0.85741,0.99663,1.0679,0.54063,0.74736,0.6409,0.50774,0.75133,0.81009,1.00505,0.0098119,0.0098119,0.0098119
21,1330.49,0.85656,0.9944,1.06803,0.56447,0.77618,0.65293,0.51748,0.72935,0.7689,0.99756,0.009802,0.009802,0.009802
22,1393.41,0.85397,0.98989,1.06943,0.50318,0.74997,0.58827,0.46873,0.72858,0.81587,0.99601,0.0097921,0.0097921,0.0097921
23,1456.35,0.84458,0.96106,1.05959,0.50645,0.76531,0.60235,0.48419,0.73024,0.79843,1.0004,0.0097822,0.0097822,0.0097822
24,1519.4,0.84142,0.96717,1.0616,0.50604,0.71766,0.55278,0.44757,0.71987,0.82206,0.99158,0.0097723,0.0097723,0.0097723
25,1582.35,0.82973,0.94162,1.05673,0.51308,0.75082,0.58564,0.4806,0.71129,0.81371,0.98001,0.0097624,0.0097624,0.0097624
26,1645.32,0.83103,0.92897,1.05149,0.50317,0.75091,0.58331,0.47417,0.71584,0.79978,0.98859,0.0097525,0.0097525,0.0097525
27,1708.3,0.81993,0.91801,1.0504,0.50686,0.76661,0.59744,0.48455,0.70485,0.74589,0.97903,0.0097426,0.0097426,0.0097426
28,1771.27,0.82605,0.92064,1.05036,0.49318,0.69697,0.57129,0.46118,0.71367,0.79238,0.98887,0.0097327,0.0097327,0.0097327
29,1834.34,0.81203,0.9041,1.04382,0.51934,0.70225,0.57958,0.47077,0.71486,0.77753,0.98911,0.0097228,0.0097228,0.0097228
