epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1897.26,0.80966,0.88894,1.03876,0.52452,0.77635,0.61851,0.5033,0.69902,0.72904,0.97842,0.0097129,0.0097129,0.0097129
31,1960.04,0.80528,0.88545,1.04372,0.54267,0.80197,0.63288,0.51977,0.69035,0.68987,0.97162,0.009703,0.009703,0.009703
32,2022.92,0.79899,0.88169,1.03793,0.44721,0.71042,0.48379,0.39609,0.69245,0.90526,0.97825,0.0096931,0.0096931,0.0096931
33,2086.03,0.8017,0.86747,1.03704,0.52118,0.68444,0.57695,0.47374,0.69228,0.82721,0.97134,0.0096832,0.0096832,0.0096832
34,2149.05,0.79131,0.85039,1.03269,0.51298,0.77412,0.6085,0.49953,0.68411,0.73368,0.97322,0.0096733,0.0096733,0.0096733
35,2211.96,0.79647,0.86065,1.0366,0.54479,0.783,0.61584,0.508,0.6937,0.69121,0.97453,0.0096634,0.0096634,0.0096634
36,2274.92,0.78539,0.83769,1.03,0.52806,0.74479,0.58139,0.48153,0.68691,0.74208,0.97092,0.0096535,0.0096535,0.0096535
37,2337.79,0.77888,0.83307,1.02478,0.5525,0.81447,0.67921,0.56344,0.67619,0.64933,0.9633,0.0096436,0.0096436,0.0096436
38,2400.86,0.78385,0.84206,1.02927,0.52927,0.72093,0.60226,0.49161,0.68268,0.72756,0.96826,0.0096337,0.0096337,0.0096337
39,2463.8,0.78253,0.83976,1.02978,0.54493,0.76267,0.61884,0.50759,0.69207,0.7038,0.97416,0.0096238,0.0096238,0.0096238
40,2526.75,0.77845,0.81587,1.02757,0.5679,0.79614,0.64536,0.53054,0.67719,0.65962,0.96251,0.0096139,0.0096139,0.0096139
41,2589.62,0.76888,0.81197,1.02005,0.56102,0.82337,0.65431,0.5384,0.66723,0.6614,0.95449,0.009604,0.009604,0.009604
42,2652.45,0.76655,0.81742,1.02268,0.53457,0.78448,0.65635,0.5404,0.67414,0.66503,0.96697,0.0095941,0.0095941,0.0095941
43,2715.36,0.76257,0.80886,1.01898,0.56999,0.80899,0.65807,0.54284,0.67366,0.64622,0.96307,0.0095842,0.0095842,0.0095842
44,2778.29,0.76566,0.81008,1.02239,0.56185,0.74439,0.64425,0.53728,0.67255,0.70611,0.96886,0.0095743,0.0095743,0.0095743
45,2841.32,0.76708,0.8001,1.01809,0.53947,0.78405,0.63084,0.52156,0.67561,0.70941,0.96943,0.0095644,0.0095644,0.0095644
46,2904.3,0.7617,0.79795,1.01707,0.59296,0.80069,0.69411,0.57679,0.65658,0.62132,0.95383,0.0095545,0.0095545,0.0095545
47,2967.14,0.75678,0.79582,1.01775,0.51171,0.78469,0.6175,0.51279,0.66323,0.68354,0.96355,0.0095446,0.0095446,0.0095446
48,3030.03,0.7491,0.78788,1.01364,0.48502,0.75879,0.58121,0.4861,0.67823,0.78995,0.96438,0.0095347,0.0095347,0.0095347
49,3093.04,0.75176,0.78056,1.01283,0.56386,0.79285,0.65166,0.5461,0.65591,0.6466,0.95738,0.0095248,0.0095248,0.0095248
50,3156.1,0.75435,0.78547,1.0146,0.49252,0.72716,0.551,0.46288,0.65841,0.81881,0.95376,0.0095149,0.0095149,0.0095149
51,3218.96,0.74691,0.76652,1.01486,0.51536,0.70011,0.57985,0.48458,0.64719,0.75555,0.94724,0.009505,0.009505,0.009505
52,3281.93,0.74615,0.766,1.01036,0.53927,0.75965,0.62299,0.52005,0.64864,0.67498,0.94757,0.0094951,0.0094951,0.0094951
53,3344.89,0.74031,0.77275,1.00948,0.53789,0.75177,0.62379,0.52813,0.65122,0.66838,0.9529,0.0094852,0.0094852,0.0094852
54,3408,0.7383,0.76122,1.00621,0.57179,0.80955,0.66186,0.55211,0.64884,0.59896,0.94883,0.0094753,0.0094753,0.0094753
55,3471.04,0.73658,0.75162,1.00718,0.54509,0.79427,0.6265,0.52329,0.65185,0.64214,0.95132,0.0094654,0.0094654,0.0094654
56,3534.02,0.73314,0.7631,1.00314,0.53659,0.76916,0.63982,0.53874,0.6502,0.65996,0.9513,0.0094555,0.0094555,0.0094555
57,3596.96,0.73525,0.7486,1.00365,0.55081,0.8102,0.66305,0.5567,0.66923,0.6313,0.95934,0.0094456,0.0094456,0.0094456
58,3659.94,0.7337,0.74693,1.00394,0.53493,0.79051,0.63618,0.53519,0.64252,0.66974,0.94803,0.0094357,0.0094357,0.0094357
59,3723.04,0.73157,0.74268,1.00308,0.56422,0.79948,0.67018,0.5616,0.64511,0.62967,0.95041,0.0094258,0.0094258,0.0094258
60,3786.11,0.72962,0.74221,1.00244,0.57979,0.78652,0.67862,0.56875,0.64099,0.59399,0.9444,0.0094159,0.0094159,0.0094159
61,3849.22,0.73323,0.7283,0.99996,0.54736,0.78812,0.65089,0.54685,0.6451,0.64899,0.94698,0.009406,0.009406,0.009406
62,3912.24,0.7249,0.74335,0.99929,0.56713,0.75891,0.65767,0.54748,0.63845,0.62204,0.94423,0.0093961,0.0093961,0.0093961
63,3975.25,0.72406,0.73094,0.99823,0.45669,0.80466,0.55629,0.4652,0.65048,0.7933,0.9538,0.0093862,0.0093862,0.0093862
64,4038.17,0.71837,0.73261,0.99726,0.54195,0.8265,0.65381,0.55365,0.64369,0.61209,0.94699,0.0093763,0.0093763,0.0093763
65,4101.22,0.72278,0.72933,0.99848,0.57411,0.80148,0.64347,0.53774,0.63806,0.6064,0.94339,0.0093664,0.0093664,0.0093664
66,4164.45,0.72111,0.72308,0.99652,0.50881,0.7596,0.58309,0.49084,0.62831,0.65913,0.93804,0.0093565,0.0093565,0.0093565
67,4229.08,0.72189,0.72301,0.99889,0.55245,0.78706,0.63668,0.5349,0.62352,0.59968,0.93808,0.0093466,0.0093466,0.0093466
