epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2032,0.71257,0.73673,0.99813,0.59329,0.77621,0.6799,0.57015,0.63141,0.60213,0.94001,0.00332489,0.00332489,0.00332489
2,128.324,0.70289,0.71237,0.9922,0.54465,0.78444,0.64465,0.54461,0.63263,0.64475,0.94201,0.00665164,0.00665164,0.00665164
3,191.33,0.71736,0.73991,0.99718,0.50236,0.74987,0.58427,0.48925,0.66693,0.75114,0.96078,0.00997178,0.00997178,0.00997178
4,254.064,0.7394,0.76201,1.00969,0.58542,0.82721,0.69164,0.57414,0.66791,0.61682,0.96075,0.0099703,0.0099703,0.0099703
5,316.874,0.74825,0.77578,1.009,0.56249,0.79173,0.65545,0.5457,0.66977,0.6597,0.96132,0.0099604,0.0099604,0.0099604
6,379.678,0.75709,0.78164,1.01247,0.52838,0.76316,0.63124,0.52651,0.67437,0.68272,0.96396,0.0099505,0.0099505,0.0099505
7,442.494,0.74909,0.78052,1.01389,0.49902,0.75059,0.58217,0.48451,0.67934,0.77237,0.9695,0.0099406,0.0099406,0.0099406
8,505.389,0.74388,0.77428,1.01011,0.53828,0.75015,0.61321,0.50515,0.6892,0.69283,0.97467,0.0099307,0.0099307,0.0099307
9,568.147,0.74107,0.76951,1.01188,0.46489,0.76771,0.5281,0.43591,0.67441,0.82624,0.96244,0.0099208,0.0099208,0.0099208
10,631.026,0.74441,0.76652,1.0076,0.56762,0.78173,0.65887,0.54616,0.65776,0.61861,0.95275,0.0099109,0.0099109,0.0099109
11,693.839,0.74364,0.76567,1.01181,0.55574,0.81963,0.64174,0.53227,0.66455,0.63678,0.95796,0.009901,0.009901,0.009901
12,756.664,0.7348,0.75727,1.00254,0.47097,0.71076,0.52152,0.43039,0.68568,0.85929,0.97066,0.0098911,0.0098911,0.0098911
13,819.45,0.74036,0.75226,1.00429,0.56827,0.81024,0.66436,0.55741,0.6637,0.63399,0.96177,0.0098812,0.0098812,0.0098812
14,882.203,0.73475,0.74242,1.00866,0.54318,0.8109,0.63575,0.52504,0.66521,0.64561,0.96147,0.0098713,0.0098713,0.0098713
15,945.062,0.73011,0.74969,1.00473,0.59306,0.82901,0.67744,0.55838,0.66549,0.61547,0.95775,0.0098614,0.0098614,0.0098614
16,1007.88,0.73274,0.75001,1.00194,0.49672,0.7455,0.56794,0.47486,0.65362,0.74612,0.95293,0.0098515,0.0098515,0.0098515
17,1070.5,0.72501,0.73302,0.9995,0.58059,0.75168,0.6543,0.53565,0.67369,0.64637,0.96206,0.0098416,0.0098416,0.0098416
18,1133.36,0.72693,0.73683,1.00095,0.52674,0.72442,0.59728,0.49765,0.66173,0.7114,0.95407,0.0098317,0.0098317,0.0098317
19,1196.15,0.72661,0.73224,1.00082,0.52968,0.80788,0.63545,0.52977,0.65889,0.63617,0.95396,0.0098218,0.0098218,0.0098218
20,1259.03,0.7176,0.71576,0.99442,0.47445,0.76519,0.53864,0.44704,0.65252,0.74022,0.94869,0.0098119,0.0098119,0.0098119
21,1321.75,0.72294,0.72538,0.99676,0.57265,0.80881,0.67958,0.56415,0.64889,0.59878,0.95563,0.009802,0.009802,0.009802
22,1384.61,0.72306,0.72706,0.99922,0.54028,0.78107,0.63166,0.52065,0.66293,0.68187,0.9538,0.0097921,0.0097921,0.0097921
23,1447.54,0.72012,0.71889,0.99413,0.55615,0.76792,0.63608,0.51902,0.65688,0.68576,0.95631,0.0097822,0.0097822,0.0097822
24,1510.34,0.71879,0.72154,0.99714,0.56694,0.74827,0.64135,0.53341,0.64655,0.63625,0.95416,0.0097723,0.0097723,0.0097723
25,1573.22,0.70984,0.71519,0.99378,0.55095,0.74453,0.60111,0.49979,0.65807,0.6649,0.95531,0.0097624,0.0097624,0.0097624
26,1636.13,0.71472,0.70616,0.99282,0.48261,0.82736,0.60575,0.50928,0.65972,0.67392,0.95368,0.0097525,0.0097525,0.0097525
27,1699,0.70649,0.7028,0.99139,0.46082,0.75155,0.52503,0.44091,0.64358,0.76365,0.94658,0.0097426,0.0097426,0.0097426
28,1761.82,0.71393,0.70451,0.99064,0.57586,0.81093,0.66976,0.55498,0.65595,0.58819,0.95595,0.0097327,0.0097327,0.0097327
29,1824.61,0.7079,0.70521,0.9907,0.53589,0.77332,0.62664,0.52128,0.65609,0.62437,0.95467,0.0097228,0.0097228,0.0097228
30,1887.65,0.70752,0.7009,0.98607,0.46522,0.71684,0.54624,0.45226,0.65802,0.83529,0.95182,0.0097129,0.0097129,0.0097129
31,1951.97,0.70357,0.69528,0.98992,0.51136,0.77191,0.58934,0.49563,0.64914,0.70611,0.9499,0.009703,0.009703,0.009703
32,2015.28,0.70419,0.69721,0.98934,0.47458,0.74654,0.55366,0.46542,0.6472,0.7813,0.94915,0.0096931,0.0096931,0.0096931
33,2079.43,0.7053,0.69197,0.98849,0.59396,0.75219,0.67436,0.55854,0.64293,0.60184,0.94347,0.0096832,0.0096832,0.0096832
34,2143.42,0.69818,0.68163,0.98538,0.54248,0.72059,0.59784,0.50326,0.64319,0.68802,0.94494,0.0096733,0.0096733,0.0096733
