epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8045,0.68448,0.67973,0.98276,0.53881,0.79849,0.61724,0.52139,0.62893,0.6319,0.94361,0.0033165,0.0033165,0.0033165
2,109.432,0.65846,0.64232,0.969,0.53951,0.79647,0.62248,0.52345,0.63114,0.63725,0.94679,0.00663666,0.00663666,0.00663666
3,163.154,0.66331,0.64685,0.96672,0.50769,0.78357,0.59934,0.50165,0.64879,0.72478,0.96112,0.00994363,0.00994363,0.00994363
4,216.333,0.68356,0.67107,0.97668,0.52611,0.74767,0.60631,0.4994,0.65032,0.68781,0.96028,0.0099406,0.0099406,0.0099406
5,269.904,0.69522,0.67802,0.97986,0.63616,0.71794,0.67496,0.55207,0.68891,0.62124,0.98077,0.0099208,0.0099208,0.0099208
6,323.12,0.70053,0.68333,0.9842,0.49806,0.73801,0.5711,0.47586,0.67042,0.72168,0.9697,0.009901,0.009901,0.009901
7,376.801,0.69996,0.69581,0.98508,0.56047,0.81198,0.6424,0.5308,0.65452,0.61252,0.96379,0.0098812,0.0098812,0.0098812
8,429.983,0.7042,0.69642,0.98668,0.54071,0.77851,0.63742,0.52355,0.67698,0.64322,0.97284,0.0098614,0.0098614,0.0098614
9,483.582,0.70098,0.68528,0.98338,0.53758,0.77797,0.59529,0.49182,0.66391,0.65913,0.96603,0.0098416,0.0098416,0.0098416
10,536.732,0.70191,0.68539,0.98377,0.47784,0.79923,0.56641,0.47233,0.65494,0.7432,0.95599,0.0098218,0.0098218,0.0098218
11,590.345,0.69692,0.67991,0.98389,0.49095,0.78366,0.58058,0.4815,0.65919,0.69202,0.95705,0.009802,0.009802,0.009802
12,643.481,0.68841,0.67406,0.978,0.46223,0.7576,0.54218,0.44943,0.65946,0.77672,0.96426,0.0097822,0.0097822,0.0097822
13,697.015,0.69749,0.67026,0.98145,0.54714,0.74519,0.61813,0.51452,0.67702,0.64537,0.96997,0.0097624,0.0097624,0.0097624
14,750.147,0.69378,0.67241,0.98174,0.52651,0.78924,0.61653,0.51144,0.66114,0.63095,0.9657,0.0097426,0.0097426,0.0097426
15,803.748,0.69384,0.66907,0.9825,0.4809,0.76912,0.56292,0.46977,0.6609,0.72585,0.96338,0.0097228,0.0097228,0.0097228
