epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7719,0.68565,0.67501,0.98384,0.5545,0.77336,0.65243,0.54587,0.62246,0.6256,0.92809,0.00332489,0.00332489,0.00332489
2,130.99,0.65899,0.63604,0.96971,0.47269,0.72284,0.53478,0.45085,0.62425,0.85564,0.9329,0.00665164,0.00665164,0.00665164
3,195.142,0.66268,0.64047,0.96953,0.5499,0.8083,0.63767,0.5316,0.66201,0.64346,0.95289,0.00997178,0.00997178,0.00997178
4,259.153,0.67627,0.65239,0.97636,0.59519,0.78831,0.67946,0.56342,0.67082,0.6052,0.95936,0.0099703,0.0099703,0.0099703
5,322.729,0.6951,0.68401,0.98218,0.56749,0.79903,0.66433,0.55556,0.65904,0.60538,0.95193,0.0099604,0.0099604,0.0099604
6,385.561,0.70489,0.69351,0.98374,0.47044,0.74723,0.56651,0.47114,0.65384,0.75642,0.95343,0.0099505,0.0099505,0.0099505
7,448.336,0.6971,0.69211,0.9864,0.45729,0.74812,0.49727,0.41526,0.65067,0.88331,0.95559,0.0099406,0.0099406,0.0099406
8,512.714,0.69457,0.68926,0.98569,0.54884,0.76525,0.62545,0.51948,0.66592,0.6598,0.9565,0.0099307,0.0099307,0.0099307
9,575.781,0.6946,0.68024,0.98684,0.48617,0.71715,0.56931,0.47063,0.66706,0.76792,0.96551,0.0099208,0.0099208,0.0099208
10,638.533,0.70069,0.68414,0.98402,0.52761,0.76292,0.62473,0.52326,0.64222,0.63408,0.94573,0.0099109,0.0099109,0.0099109
11,701.246,0.69546,0.68154,0.98715,0.51479,0.71079,0.59752,0.48803,0.65849,0.73102,0.95629,0.009901,0.009901,0.009901
12,763.954,0.68856,0.67368,0.97858,0.44663,0.71551,0.52255,0.43682,0.65543,0.85955,0.95374,0.0098911,0.0098911,0.0098911
13,826.768,0.69345,0.67178,0.98067,0.56824,0.75589,0.63626,0.5296,0.65495,0.66085,0.95724,0.0098812,0.0098812,0.0098812
14,889.546,0.69345,0.66778,0.98533,0.52658,0.76659,0.62838,0.52673,0.64114,0.63745,0.94876,0.0098713,0.0098713,0.0098713
15,952.331,0.68577,0.66652,0.9798,0.59758,0.76081,0.66522,0.5492,0.64252,0.60542,0.95132,0.0098614,0.0098614,0.0098614
16,1014.99,0.68869,0.67227,0.98004,0.46978,0.74517,0.53996,0.4498,0.66049,0.76532,0.95845,0.0098515,0.0098515,0.0098515
17,1077.88,0.68444,0.6554,0.97965,0.60345,0.77258,0.67112,0.55964,0.63885,0.59318,0.93911,0.0098416,0.0098416,0.0098416
18,1141.81,0.6835,0.6621,0.97937,0.51047,0.68065,0.58766,0.4891,0.64742,0.707,0.94712,0.0098317,0.0098317,0.0098317
19,1208.72,0.68717,0.65728,0.98048,0.5198,0.72654,0.57894,0.48015,0.65826,0.72263,0.9534,0.0098218,0.0098218,0.0098218
20,1276.36,0.6794,0.6453,0.97427,0.48158,0.68232,0.56812,0.46998,0.64524,0.74659,0.94595,0.0098119,0.0098119,0.0098119
21,1343.18,0.68257,0.6555,0.97642,0.57529,0.76002,0.67453,0.56085,0.6464,0.59923,0.94788,0.009802,0.009802,0.009802
22,1408.93,0.6864,0.66462,0.98117,0.5655,0.73986,0.66413,0.54725,0.65459,0.63451,0.95179,0.0097921,0.0097921,0.0097921
23,1474.43,0.69776,0.67303,0.98161,0.55283,0.72794,0.64241,0.53012,0.65509,0.67564,0.95295,0.0097822,0.0097822,0.0097822
24,1538.4,0.69416,0.66975,0.98518,0.54941,0.73553,0.63954,0.53556,0.64672,0.66314,0.94946,0.0097723,0.0097723,0.0097723
25,1602.65,0.68819,0.66769,0.98328,0.57263,0.7709,0.66952,0.55965,0.63574,0.60736,0.94134,0.0097624,0.0097624,0.0097624
26,1666.98,0.69602,0.65869,0.98237,0.58688,0.64769,0.61722,0.52133,0.64607,0.70961,0.94269,0.0097525,0.0097525,0.0097525
27,1731.45,0.68683,0.66144,0.982,0.48011,0.74104,0.58904,0.49751,0.63823,0.71321,0.94598,0.0097426,0.0097426,0.0097426
28,1795.9,0.69745,0.66428,0.98301,0.54897,0.68671,0.61631,0.50999,0.65416,0.66359,0.95289,0.0097327,0.0097327,0.0097327
