epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.651,0.71867,0.75346,0.99885,0.53946,0.79504,0.61385,0.51145,0.64102,0.65731,0.94809,0.0033165,0.0033165,0.0033165
2,109.182,0.68041,0.69459,0.97849,0.56765,0.83476,0.64632,0.52995,0.64424,0.63958,0.94997,0.00663666,0.00663666,0.00663666
3,162.919,0.67457,0.68761,0.97105,0.51778,0.81313,0.62236,0.51697,0.66994,0.70314,0.96672,0.00994363,0.00994363,0.00994363
4,216.268,0.69665,0.71161,0.984,0.41219,0.75961,0.49431,0.4022,0.69533,0.95602,0.98333,0.0099406,0.0099406,0.0099406
5,270.006,0.72216,0.74331,0.99248,0.48993,0.76301,0.57262,0.46548,0.70457,0.80034,0.98837,0.0099208,0.0099208,0.0099208
6,323.272,0.75759,0.79134,1.01605,0.43361,0.7395,0.52725,0.43149,0.68742,0.89351,0.98265,0.009901,0.009901,0.009901
7,377.05,0.7597,0.80846,1.017,0.51668,0.77909,0.57028,0.4633,0.71469,0.73623,0.99016,0.0098812,0.0098812,0.0098812
8,430.242,0.76103,0.80127,1.01851,0.51926,0.79068,0.61567,0.50793,0.69721,0.70381,0.98884,0.0098614,0.0098614,0.0098614
9,483.914,0.75611,0.79207,1.01369,0.50532,0.77731,0.57664,0.46976,0.70528,0.74269,0.98723,0.0098416,0.0098416,0.0098416
10,537.125,0.75389,0.78095,1.01187,0.51933,0.78889,0.61244,0.49459,0.68538,0.69332,0.97804,0.0098218,0.0098218,0.0098218
11,590.866,0.74733,0.76928,1.00929,0.5764,0.77587,0.65923,0.54499,0.67912,0.64451,0.9715,0.009802,0.009802,0.009802
12,644.147,0.73781,0.76399,1.00254,0.48526,0.75589,0.56983,0.45949,0.68945,0.79624,0.98308,0.0097822,0.0097822,0.0097822
13,697.901,0.74518,0.75942,1.006,0.47312,0.67964,0.53332,0.43723,0.68744,0.81046,0.97627,0.0097624,0.0097624,0.0097624
14,751.199,0.74129,0.76055,1.00621,0.59114,0.75609,0.66482,0.546,0.69155,0.66088,0.97971,0.0097426,0.0097426,0.0097426
15,804.827,0.73864,0.75563,1.00392,0.52167,0.76897,0.58577,0.48011,0.67644,0.72092,0.96649,0.0097228,0.0097228,0.0097228
16,858.161,0.73273,0.74416,1.00061,0.48115,0.7665,0.54037,0.44351,0.67191,0.78243,0.96702,0.009703,0.009703,0.009703
17,911.804,0.73074,0.73864,1.0012,0.57976,0.79262,0.66058,0.54677,0.68414,0.61413,0.9754,0.0096832,0.0096832,0.0096832
18,965.102,0.72977,0.74409,1.00053,0.41726,0.729,0.46267,0.37916,0.67417,0.97578,0.97185,0.0096634,0.0096634,0.0096634
19,1018.69,0.73887,0.74539,1.00681,0.46937,0.80319,0.55664,0.46315,0.67617,0.7623,0.97214,0.0096436,0.0096436,0.0096436
20,1071.91,0.72259,0.71999,0.99308,0.51511,0.79233,0.60633,0.50244,0.66337,0.70871,0.96654,0.0096238,0.0096238,0.0096238
21,1125.51,0.72325,0.72713,0.99588,0.56416,0.83018,0.66063,0.55153,0.65304,0.61333,0.95703,0.009604,0.009604,0.009604
22,1178.78,0.71703,0.72213,0.99363,0.47871,0.78558,0.55497,0.45541,0.67235,0.7623,0.96873,0.0095842,0.0095842,0.0095842
23,1232.38,0.72159,0.7196,0.9929,0.43571,0.75379,0.50761,0.41655,0.68644,0.93766,0.97978,0.0095644,0.0095644,0.0095644
24,1285.6,0.71262,0.71242,0.99225,0.54995,0.80701,0.64579,0.53406,0.67659,0.61806,0.97081,0.0095446,0.0095446,0.0095446
25,1339.13,0.7097,0.70948,0.99105,0.564,0.7733,0.65002,0.53974,0.65947,0.61874,0.96237,0.0095248,0.0095248,0.0095248
26,1392.45,0.70993,0.70114,0.98855,0.55197,0.8097,0.65081,0.54298,0.66274,0.60543,0.96327,0.009505,0.009505,0.009505
27,1445.89,0.71151,0.70282,0.9895,0.54022,0.77185,0.63657,0.52728,0.65562,0.63096,0.96375,0.0094852,0.0094852,0.0094852
28,1499.22,0.7111,0.70093,0.98849,0.5268,0.75438,0.59267,0.49111,0.65555,0.66028,0.96343,0.0094654,0.0094654,0.0094654
29,1552.71,0.7036,0.69408,0.98637,0.47461,0.69241,0.55356,0.46077,0.65525,0.76258,0.96048,0.0094456,0.0094456,0.0094456
30,1606.03,0.70193,0.68244,0.98439,0.54694,0.76796,0.61895,0.51204,0.66325,0.64972,0.96342,0.0094258,0.0094258,0.0094258
31,1659.45,0.70113,0.68632,0.98474,0.53417,0.77514,0.6351,0.5285,0.64959,0.63114,0.95385,0.009406,0.009406,0.009406
