epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.052,0.70152,0.71461,0.99142,0.57713,0.79907,0.65027,0.54814,0.63506,0.63241,0.94169,0.00332489,0.00332489,0.00332489
2,127.987,0.66392,0.65647,0.97295,0.51114,0.77875,0.59797,0.50547,0.6425,0.72471,0.9462,0.00665164,0.00665164,0.00665164
3,190.894,0.65156,0.64193,0.96483,0.57476,0.82303,0.66442,0.54962,0.67563,0.62513,0.96599,0.00997178,0.00997178,0.00997178
4,253.704,0.68249,0.67627,0.97937,0.56602,0.78667,0.65332,0.54463,0.66169,0.65822,0.95802,0.0099703,0.0099703,0.0099703
5,316.556,0.74543,0.77052,1.00936,0.58359,0.74441,0.66949,0.55307,0.67089,0.6529,0.96441,0.0099604,0.0099604,0.0099604
6,379.297,0.75579,0.77901,1.01142,0.55089,0.72335,0.64734,0.53245,0.67025,0.68519,0.96031,0.0099505,0.0099505,0.0099505
7,442.095,0.74587,0.77435,1.01255,0.52814,0.77102,0.62163,0.51291,0.68756,0.71017,0.97416,0.0099406,0.0099406,0.0099406
8,504.892,0.74599,0.77242,1.01039,0.53398,0.74013,0.61239,0.51071,0.66328,0.68855,0.95812,0.0099307,0.0099307,0.0099307
9,567.698,0.74049,0.76081,1.01063,0.55312,0.77957,0.64472,0.53205,0.6695,0.6592,0.95954,0.0099208,0.0099208,0.0099208
10,630.535,0.74729,0.7668,1.00939,0.53689,0.76555,0.63196,0.52457,0.67075,0.65642,0.95673,0.0099109,0.0099109,0.0099109
11,693.267,0.74217,0.75844,1.01084,0.53037,0.75065,0.61087,0.50739,0.67836,0.71072,0.96536,0.009901,0.009901,0.009901
12,756.042,0.73296,0.74885,1.00233,0.53519,0.79351,0.64208,0.53217,0.66196,0.65708,0.9555,0.0098911,0.0098911,0.0098911
13,818.945,0.73613,0.74393,1.00179,0.55701,0.8113,0.6598,0.54823,0.66011,0.65243,0.95742,0.0098812,0.0098812,0.0098812
14,881.68,0.73304,0.74151,1.00724,0.55556,0.78681,0.64598,0.53624,0.65831,0.64609,0.95622,0.0098713,0.0098713,0.0098713
15,944.386,0.72828,0.74805,1.00144,0.58334,0.78957,0.65802,0.5505,0.64807,0.61553,0.95042,0.0098614,0.0098614,0.0098614
16,1007.26,0.73194,0.75012,1.00188,0.45968,0.73107,0.52173,0.4342,0.66745,0.83792,0.96477,0.0098515,0.0098515,0.0098515
17,1070.08,0.72412,0.72903,0.99834,0.49054,0.76287,0.58828,0.48637,0.65799,0.71738,0.95349,0.0098416,0.0098416,0.0098416
18,1133.17,0.72342,0.73146,0.9984,0.5381,0.79566,0.62901,0.52142,0.65084,0.65126,0.94714,0.0098317,0.0098317,0.0098317
19,1197.39,0.72571,0.72962,1.00114,0.52504,0.80926,0.60854,0.50458,0.66314,0.67493,0.95186,0.0098218,0.0098218,0.0098218
20,1261.02,0.71559,0.71184,0.99293,0.51592,0.7688,0.60158,0.50334,0.66435,0.68185,0.95593,0.0098119,0.0098119,0.0098119
21,1323.74,0.71981,0.71806,0.99613,0.53783,0.78273,0.61954,0.51489,0.6569,0.64988,0.95327,0.009802,0.009802,0.009802
22,1388,0.72155,0.72377,0.9981,0.60055,0.78925,0.6906,0.56799,0.66294,0.61267,0.9558,0.0097921,0.0097921,0.0097921
23,1452.2,0.71753,0.71716,0.99093,0.56581,0.77564,0.63903,0.52713,0.67206,0.62655,0.96021,0.0097822,0.0097822,0.0097822
